lng,lat,price,number of rooms
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.267749"" data-longitude=""-123.184590"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.267749"" data-longitude=""-123.184590"" id=""map""></div>]",$1100,/ 1br -
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.138001"" data-longitude=""-122.890489"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.138001"" data-longitude=""-122.890489"" id=""map""></div>]",$1000,/ 3br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.258473"" data-longitude=""-123.233460"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.258473"" data-longitude=""-123.233460"" id=""map""></div>]",$2100,/ 1br - 900ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.337549"" data-longitude=""-123.115421"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.337549"" data-longitude=""-123.115421"" id=""map""></div>]",$1780,/ 2br -
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.270414"" data-longitude=""-123.214764"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.270414"" data-longitude=""-123.214764"" id=""map""></div>]",$8500,/ 5br - 3500ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.146323"" data-longitude=""-122.801088"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.146323"" data-longitude=""-122.801088"" id=""map""></div>]",$550,/ 1br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.276151"" data-longitude=""-123.115712"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.276151"" data-longitude=""-123.115712"" id=""map""></div>]",$1410,/ 429ft
"[<div class=""viewposting"" data-accuracy=""5"" data-latitude=""49.031875"" data-longitude=""-122.873068"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""5"" data-latitude=""49.031875"" data-longitude=""-122.873068"" id=""map""></div>]",$1350,/ 750ft
[],[],$1250,/ 1br - 700ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.284879"" data-longitude=""-122.988889"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.284879"" data-longitude=""-122.988889"" id=""map""></div>]",$3700,/ 3br - 2800ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.291605"" data-longitude=""-123.133187"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.291605"" data-longitude=""-123.133187"" id=""map""></div>]",$1800,/ 1br - 600ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.229978"" data-longitude=""-122.929391"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.229978"" data-longitude=""-122.929391"" id=""map""></div>]",$450,/ 2br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.194802"" data-longitude=""-122.922721"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.194802"" data-longitude=""-122.922721"" id=""map""></div>]",$1650,/ 2br - 969ft
