lng,lat,price,number of rooms
"[<div class=""viewposting"" data-accuracy=""10"" data-latitude=""49.018966"" data-longitude=""-122.797784"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""10"" data-latitude=""49.018966"" data-longitude=""-122.797784"" id=""map""></div>]",$1500000,/ 2br - 2210ft
"[<div class=""viewposting"" data-accuracy=""5"" data-latitude=""49.270829"" data-longitude=""-123.107042"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""5"" data-latitude=""49.270829"" data-longitude=""-123.107042"" id=""map""></div>]",$948000,/ 2br - 1074ft
[],[],$948000,/ 2br - 1074ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.164562"" data-longitude=""-122.804187"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.164562"" data-longitude=""-122.804187"" id=""map""></div>]",$349900,/ 3br - 1600ft
"[<div class=""viewposting"" data-accuracy=""5"" data-latitude=""49.168573"" data-longitude=""-122.868776"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""5"" data-latitude=""49.168573"" data-longitude=""-122.868776"" id=""map""></div>]",$529000,/ 4br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.119374"" data-longitude=""-122.870778"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.119374"" data-longitude=""-122.870778"" id=""map""></div>]",$372900,/ 3br - 1956ft
[],[],$339000,/ 4br - 2100ft
[],[],$1100000,/ 8br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.330178"" data-longitude=""-123.065529"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.330178"" data-longitude=""-123.065529"" id=""map""></div>]",$1285000,/ 4br - 2141ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.238727"" data-longitude=""-122.831932"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.238727"" data-longitude=""-122.831932"" id=""map""></div>]",$1500000,/ 5br -
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.191341"" data-longitude=""-122.555842"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.191341"" data-longitude=""-122.555842"" id=""map""></div>]",$1495000,/ 2br -
[],[],$466000,/ 5br - 2360ft
[],[],$49000,/ 1br -
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.123524"" data-longitude=""-122.805902"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.123524"" data-longitude=""-122.805902"" id=""map""></div>]",$219000,/ 2br -
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.195863"" data-longitude=""-122.806139"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.195863"" data-longitude=""-122.806139"" id=""map""></div>]",$164900,/ 2br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.003083"" data-longitude=""-122.752841"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.003083"" data-longitude=""-122.752841"" id=""map""></div>]",$998500,/ 6br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.111485"" data-longitude=""-122.734144"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.111485"" data-longitude=""-122.734144"" id=""map""></div>]",$149000,/ 2br -
"[<div class=""viewposting"" data-accuracy=""10"" data-latitude=""49.330162"" data-longitude=""-123.064022"" id=""map""></div>]","[<div class=""viewposting"" data-accuracy=""10"" data-latitude=""49.330162"" data-longitude=""-123.064022"" id=""map""></div>]",$1285000,/ 4br - 2141ft
